Partition	Size	Members
10039_0	3	transcript/57151,transcript/59786,transcript/61913
10040_0	2	transcript/60160,transcript/58205
1004_0	3	transcript/3751,transcript/4895,transcript/3990
10041_0	5	transcript/64034,transcript/60963,transcript/62057,transcript/58356,transcript/60429
10042_0	6	transcript/62644,transcript/58121,transcript/58327,transcript/59476,transcript/66937,transcript/65184
10043_0	2	transcript/59261,transcript/58254
10044_0	2	transcript/58476,transcript/59541
10045_0	2	transcript/59048,transcript/65340
10045_1	2	transcript/58526,transcript/59529
10046_0	2	transcript/58161,transcript/59521
10047_0	8	transcript/65543,transcript/63345,transcript/66956,transcript/66173,transcript/60371,transcript/63964,transcript/58378,transcript/56778
10048_0	5	transcript/60100,transcript/61235,transcript/58359,transcript/64236,transcript/58545
10049_0	3	transcript/58394,transcript/60740,transcript/59282
10050_0	2	transcript/58456,transcript/65368
1005_0	5	transcript/4204,transcript/4626,transcript/3780,transcript/3828,transcript/4977
10051_0	5	transcript/59647,transcript/58944,transcript/60306,transcript/60783,transcript/57364
10052_0	3	transcript/58244,transcript/59507,transcript/60510
10053_0	3	transcript/57155,transcript/57378,transcript/66361
10054_0	3	transcript/64618,transcript/58766,transcript/58092
10055_0	4	transcript/65865,transcript/57869,transcript/59633,transcript/62293
10057_0	2	transcript/58181,transcript/59159
10058_0	4	transcript/60814,transcript/59667,transcript/61173,transcript/59575
10058_1	2	transcript/58501,transcript/58333
10058_2	2	transcript/60434,transcript/59248
10059_0	2	transcript/58693,transcript/60951
10060_0	2	transcript/58499,transcript/59642
1006_0	3	transcript/3856,transcript/4020,transcript/3723
10061_0	3	transcript/59198,transcript/59418,transcript/58715
10062_0	2	transcript/66024,transcript/58829
10063_0	3	transcript/58377,transcript/60890,transcript/60205
10064_0	2	transcript/58653,transcript/59768
10065_0	3	transcript/58713,transcript/59285,transcript/60849
10066_0	2	transcript/58716,transcript/59639
10067_0	2	transcript/63783,transcript/58728
10068_0	4	transcript/58352,transcript/58883,transcript/58672,transcript/59615
10069_0	2	transcript/59323,transcript/58720
10070_0	2	transcript/58079,transcript/57992
10071_0	3	transcript/60469,transcript/63286,transcript/58674
10072_0	5	transcript/58936,transcript/63092,transcript/63217,transcript/59518,transcript/58375
10073_0	3	transcript/60710,transcript/58789,transcript/66811
10073_2	5	transcript/63647,transcript/65398,transcript/60221,transcript/60468,transcript/64004
10074_0	5	transcript/57288,transcript/63353,transcript/59926,transcript/64624,transcript/61514
10075_0	2	transcript/58802,transcript/60422
10076_0	2	transcript/58861,transcript/60835
10077_0	3	transcript/59408,transcript/61198,transcript/59021
10078_0	5	transcript/60755,transcript/61701,transcript/64590,transcript/65672,transcript/58926
10079_0	3	transcript/63344,transcript/59022,transcript/60323
10080_0	3	transcript/62715,transcript/66818,transcript/57052
1008_0	2	transcript/3592,transcript/3636
10081_0	2	transcript/62353,transcript/57570
10082_0	3	transcript/57903,transcript/62474,transcript/65287
10083_0	3	transcript/59823,transcript/61131,transcript/59009
10084_0	5	transcript/59557,transcript/62302,transcript/59816,transcript/58963,transcript/64460
10085_0	5	transcript/65256,transcript/61974,transcript/59312,transcript/66873,transcript/60121
10086_0	3	transcript/60875,transcript/59356,transcript/59191
10088_0	2	transcript/58684,transcript/60230
10089_0	3	transcript/59582,transcript/64612,transcript/60495
10090_0	3	transcript/59750,transcript/59186,transcript/60714
1009_0	4	transcript/3830,transcript/5309,transcript/6127,transcript/4155
10091_0	4	transcript/61496,transcript/66423,transcript/59019,transcript/62241
10092_0	2	transcript/58977,transcript/61888
10093_0	2	transcript/61436,transcript/59379
10094_0	7	transcript/66341,transcript/62138,transcript/62124,transcript/59036,transcript/58745,transcript/64388,transcript/61106
10095_0	3	transcript/65381,transcript/60999,transcript/58732
10096_0	2	transcript/64815,transcript/59288
10097_0	3	transcript/62363,transcript/58563,transcript/64823
10098_0	5	transcript/66708,transcript/59480,transcript/64687,transcript/59292,transcript/62664
10099_0	3	transcript/59156,transcript/62240,transcript/59266
10100_0	2	transcript/61839,transcript/59405
1010_0	8	transcript/7503,transcript/4111,transcript/4545,transcript/5600,transcript/6118,transcript/4063,transcript/25121,transcript/4067
10101_0	2	transcript/62818,transcript/58236
10102_0	2	transcript/59225,transcript/66904
10103_0	2	transcript/63534,transcript/59488
10104_0	2	transcript/61715,transcript/59456
10105_0	4	transcript/59526,transcript/59465,transcript/59822,transcript/63212
10106_0	4	transcript/62259,transcript/61507,transcript/60238,transcript/59487
10107_0	3	transcript/66780,transcript/60321,transcript/59738
10107_1	1	transcript/8086
10108_0	5	transcript/64334,transcript/60143,transcript/60941,transcript/61696,transcript/59604
10109_0	2	transcript/66545,transcript/59606
10_0	4	transcript/879,transcript/847,transcript/794,transcript/701
10110_0	5	transcript/62283,transcript/61764,transcript/59651,transcript/64972,transcript/59723
1011_0	3	transcript/3704,transcript/4062,transcript/3178
10111_0	2	transcript/59753,transcript/61616
10112_0	2	transcript/59754,transcript/60227
10113_0	2	transcript/59678,transcript/60331
10114_0	2	transcript/59782,transcript/60589
10115_0	2	transcript/59145,transcript/61189
10116_0	4	transcript/62078,transcript/65265,transcript/66810,transcript/59550
10117_0	1	transcript/47674
10117_1	2	transcript/60762,transcript/60019
10118_0	2	transcript/60020,transcript/60545
10119_0	2	transcript/59939,transcript/60818
10120_0	2	transcript/60052,transcript/65589
1012_0	2	transcript/5401,transcript/3736
10121_0	2	transcript/60080,transcript/61088
10122_0	5	transcript/66069,transcript/60014,transcript/65254,transcript/61967,transcript/61584
10123_0	4	transcript/65999,transcript/59872,transcript/64199,transcript/63267
10124_0	4	transcript/62326,transcript/61036,transcript/64353,transcript/59577
10124_1	2	transcript/59031,transcript/64530
10125_0	2	transcript/61312,transcript/60044
10126_0	2	transcript/65863,transcript/60092
10127_0	2	transcript/64938,transcript/58566
10128_0	5	transcript/61639,transcript/63725,transcript/60246,transcript/59737,transcript/60974
10128_8	5	transcript/64126,transcript/61801,transcript/65180,transcript/60479,transcript/59871
10129_0	3	transcript/59367,transcript/60837,transcript/64156
10129_1	4	transcript/60386,transcript/66021,transcript/61116,transcript/64535
10130_0	3	transcript/64239,transcript/59845,transcript/60592
1013_0	5	transcript/4503,transcript/4091,transcript/4286,transcript/3382,transcript/8036
10131_0	2	transcript/61340,transcript/60328
10132_0	4	transcript/59489,transcript/66663,transcript/64282,transcript/61761
10133_0	2	transcript/60287,transcript/66585
10134_0	2	transcript/60764,transcript/60338
10135_0	2	transcript/65397,transcript/60146
10136_0	2	transcript/60288,transcript/64382
10137_0	3	transcript/61159,transcript/60416,transcript/61928
10138_0	2	transcript/60933,transcript/60588
10139_0	2	transcript/60619,transcript/61298
10140_0	3	transcript/60534,transcript/60005,transcript/64130
1014_0	4	transcript/4510,transcript/4949,transcript/3483,transcript/4236
10141_0	2	transcript/60713,transcript/62508
10142_0	2	transcript/60565,transcript/61109
10143_0	2	transcript/60720,transcript/64688
10144_0	3	transcript/60487,transcript/62781,transcript/61485
10145_0	2	transcript/60549,transcript/62027
10146_0	2	transcript/61266,transcript/60659
10148_0	3	transcript/65477,transcript/61912,transcript/60073
10149_0	3	transcript/60177,transcript/60277,transcript/61351
10150_0	2	transcript/60786,transcript/66494
1015_0	6	transcript/3640,transcript/9564,transcript/52761,transcript/49469,transcript/47356,transcript/50483
10151_0	2	transcript/60683,transcript/62782
10152_0	2	transcript/59907,transcript/61530
10153_0	2	transcript/66371,transcript/61056
10154_0	3	transcript/60650,transcript/64024,transcript/66864
10155_0	4	transcript/61284,transcript/64759,transcript/61996,transcript/62031
10156_0	4	transcript/61010,transcript/61435,transcript/64440,transcript/61651
10157_0	3	transcript/61066,transcript/66975,transcript/65229
10158_0	2	transcript/61832,transcript/61188
10160_0	3	transcript/62263,transcript/63480,transcript/61260
1016_0	4	transcript/3739,transcript/7813,transcript/8004,transcript/11365
1016_1	8	transcript/15957,transcript/12859,transcript/9291,transcript/13177,transcript/19035,transcript/15272,transcript/11696,transcript/14728
10161_1	2	transcript/61851,transcript/64626
10163_0	2	transcript/61501,transcript/65579
10164_0	3	transcript/62228,transcript/65893,transcript/61517
10165_0	3	transcript/61075,transcript/63220,transcript/61551
10166_0	2	transcript/61632,transcript/62683
10167_0	2	transcript/61528,transcript/64821
10167_1	2	transcript/64266,transcript/61843
10167_2	1	transcript/62389
10170_0	2	transcript/61943,transcript/64610
1017_0	3	transcript/55280,transcript/56308,transcript/4394
10171_0	2	transcript/61398,transcript/65098
10172_0	2	transcript/61919,transcript/63275
10173_0	5	transcript/62082,transcript/64694,transcript/66518,transcript/65116,transcript/61674
10174_0	2	transcript/65525,transcript/62359
10177_0	3	transcript/63383,transcript/63100,transcript/66331
10178_0	2	transcript/62977,transcript/64652
10179_0	2	transcript/63133,transcript/7057
1018_0	3	transcript/3738,transcript/2115,transcript/4586
10182_0	2	transcript/66239,transcript/63582
10183_1	2	transcript/66038,transcript/63731
10184_0	3	transcript/64546,transcript/66579,transcript/63859
10185_0	2	transcript/65190,transcript/65954
10187_0	2	transcript/66364,transcript/65334
1019_0	2	transcript/4233,transcript/3799
1020_0	4	transcript/4569,transcript/4898,transcript/7003,transcript/3873
1022_0	5	transcript/7042,transcript/5693,transcript/5997,transcript/5206,transcript/4891
1022_1	6	transcript/8798,transcript/4015,transcript/5086,transcript/5543,transcript/6460,transcript/3836
1023_0	2	transcript/7028,transcript/3831
1023_8	3	transcript/6937,transcript/9621,transcript/13777
1023_2	4	transcript/6276,transcript/3099,transcript/10318,transcript/3968
1024_0	4	transcript/51708,transcript/5697,transcript/3616,transcript/6380
1025_0	3	transcript/3795,transcript/3837,transcript/4879
1026_0	10	transcript/49346,transcript/58562,transcript/54855,transcript/48028,transcript/53440,transcript/49831,transcript/48468,transcript/3864,transcript/50242,transcript/52452
1026_2	3	transcript/49521,transcript/48220,transcript/49216
1026_14	4	transcript/48654,transcript/48446,transcript/51128,transcript/48661
10268_0	4	transcript/356,transcript/679,transcript/456,transcript/418
10274_0	2	transcript/405,transcript/63560
10276_0	2	transcript/401,transcript/49658
10278_0	3	transcript/426,transcript/43713,transcript/403
1028_0	4	transcript/3847,transcript/7050,transcript/8906,transcript/6019
10283_0	3	transcript/535,transcript/509,transcript/738
10284_0	2	transcript/690,transcript/629
10288_0	2	transcript/60436,transcript/570
1029_0	2	transcript/6087,transcript/3735
10294_0	2	transcript/140,transcript/1406
10298_0	2	transcript/46923,transcript/320
10300_0	2	transcript/9509,transcript/119
1030_0	5	transcript/8522,transcript/6010,transcript/8665,transcript/5725,transcript/7700
1030_1	6	transcript/5279,transcript/4782,transcript/5962,transcript/5263,transcript/3851,transcript/4060
10302_0	2	transcript/39025,transcript/38
10303_0	2	transcript/203,transcript/38191
103_1	5	transcript/17901,transcript/35093,transcript/11787,transcript/1021,transcript/14276
103_3	2	transcript/7518,transcript/9423
1031_0	11	transcript/4482,transcript/16729,transcript/37014,transcript/6178,transcript/2838,transcript/3427,transcript/4247,transcript/3707,transcript/7566,transcript/3863,transcript/8756
1031_7	7	transcript/2354,transcript/20328,transcript/65295,transcript/36911,transcript/3854,transcript/4150,transcript/8009
10314_0	2	transcript/643,transcript/687
10324_0	2	transcript/355,transcript/772
10329_0	2	transcript/181,transcript/173
10330_0	2	transcript/244,transcript/172
10331_0	3	transcript/179,transcript/163,transcript/168
10332_0	4	transcript/458,transcript/641,transcript/595,transcript/491
10333_0	3	transcript/453,transcript/553,transcript/379
10335_0	2	transcript/504,transcript/130
10337_0	2	transcript/512,transcript/395
10338_0	2	transcript/404,transcript/578
10339_0	2	transcript/80,transcript/6
10340_0	4	transcript/548,transcript/476,transcript/602,transcript/498
10340_1	2	transcript/365,transcript/310
10340_8	2	transcript/398,transcript/333
1034_0	2	transcript/4576,transcript/4052
10342_0	2	transcript/382,transcript/315
10343_0	2	transcript/326,transcript/314
10344_0	3	transcript/44,transcript/98,transcript/107
10345_0	3	transcript/532,transcript/628,transcript/394
10346_0	5	transcript/539,transcript/520,transcript/587,transcript/518,transcript/631
10347_0	3	transcript/636,transcript/598,transcript/508
10348_0	2	transcript/620,transcript/666
10349_0	2	transcript/360,transcript/423
10349_1	2	transcript/327,transcript/384
10349_2	2	transcript/397,transcript/374
10349_4	2	transcript/719,transcript/488
10349_9	1	transcript/616
10350_0	2	transcript/373,transcript/367
1035_0	2	transcript/4012,transcript/4440
10351_0	3	transcript/332,transcript/281,transcript/128
10352_0	2	transcript/287,transcript/321
10355_0	2	transcript/574,transcript/592
10356_0	5	transcript/232,transcript/215,transcript/252,transcript/258,transcript/530
10357_1	2	transcript/218,transcript/193
10358_0	2	transcript/448,transcript/577
10360_0	2	transcript/549,transcript/561
1036_1	2	transcript/43543,transcript/42252
10361_1	2	transcript/117,transcript/143
10363_0	3	transcript/431,transcript/372,transcript/482
10364_0	2	transcript/324,transcript/603
10366_0	3	transcript/167,transcript/186,transcript/87
10367_0	2	transcript/651,transcript/428
10368_0	3	transcript/64,transcript/56,transcript/72
10369_0	2	transcript/30,transcript/634
1037_0	5	transcript/7384,transcript/3763,transcript/4581,transcript/25415,transcript/5906
10372_0	2	transcript/276,transcript/275
10373_0	2	transcript/274,transcript/278
10374_0	3	transcript/81,transcript/76,transcript/55
10376_0	2	transcript/9,transcript/8
10378_1	2	transcript/655,transcript/485
10379_0	2	transcript/492,transcript/502
10380_0	4	transcript/330,transcript/493,transcript/515,transcript/615
1038_0	2	transcript/3852,transcript/3866
10381_0	2	transcript/329,transcript/410
10382_0	2	transcript/88,transcript/69
10384_0	5	transcript/71,transcript/51,transcript/62,transcript/60,transcript/61
10385_0	2	transcript/340,transcript/396
10387_0	2	transcript/233,transcript/334
10388_0	3	transcript/263,transcript/164,transcript/271
10390_0	2	transcript/459,transcript/420
1039_0	6	transcript/3733,transcript/7530,transcript/2411,transcript/5377,transcript/3972,transcript/4277
10391_0	4	transcript/265,transcript/223,transcript/261,transcript/316
10394_0	2	transcript/594,transcript/411
10396_0	2	transcript/542,transcript/392
10397_0	2	transcript/125,transcript/122
10398_0	2	transcript/466,transcript/558
10400_0	2	transcript/523,transcript/649
10401_0	2	transcript/521,transcript/480
10402_0	2	transcript/354,transcript/435
10403_0	2	transcript/220,transcript/225
104_0	2	transcript/1267,transcript/1376
104_1	6	transcript/1419,transcript/1148,transcript/1159,transcript/1069,transcript/958,transcript/1047
1041_0	4	transcript/4517,transcript/4085,transcript/8671,transcript/5064
1042_0	2	transcript/5129,transcript/3884
1043_0	3	transcript/6741,transcript/4490,transcript/3834
1044_0	3	transcript/4069,transcript/4820,transcript/3778
1047_0	3	transcript/3511,transcript/20658,transcript/4468
1050_0	2	transcript/47710,transcript/22181
1050_2	3	transcript/6857,transcript/3895,transcript/49937
105_0	4	transcript/1423,transcript/1168,transcript/896,transcript/943
1051_0	4	transcript/5790,transcript/4276,transcript/3839,transcript/8315
1052_0	6	transcript/4761,transcript/5569,transcript/5148,transcript/3970,transcript/4151,transcript/972
1053_0	31	transcript/32843,transcript/6798,transcript/9739,transcript/18825,transcript/15063,transcript/13721,transcript/4404,transcript/11226,transcript/37695,transcript/16554,transcript/39145,transcript/10960,transcript/41767,transcript/3859,transcript/5435,transcript/4719,transcript/12080,transcript/13464,transcript/21214,transcript/34121,transcript/26758,transcript/43236,transcript/14886,transcript/26733,transcript/9419,transcript/9458,transcript/10600,transcript/17380,transcript/14738,transcript/10702,transcript/10423
1053_12	5	transcript/29514,transcript/39382,transcript/7109,transcript/11579,transcript/6835
1054_0	9	transcript/5291,transcript/5995,transcript/4100,transcript/5044,transcript/7671,transcript/4992,transcript/3982,transcript/5119,transcript/6253
1054_8	4	transcript/6037,transcript/4431,transcript/6275,transcript/4664
1056_0	4	transcript/6273,transcript/5025,transcript/20074,transcript/4180
1057_0	4	transcript/4409,transcript/3914,transcript/4135,transcript/4164
1059_0	3	transcript/48356,transcript/49898,transcript/3850
1060_0	6	transcript/4366,transcript/4760,transcript/5460,transcript/5105,transcript/3963,transcript/4988
1060_8	4	transcript/6241,transcript/7278,transcript/7546,transcript/6015
106_0	2	transcript/1056,transcript/1519
1061_0	3	transcript/4590,transcript/4869,transcript/4184
1062_0	4	transcript/5225,transcript/9321,transcript/4177,transcript/4292
1064_0	4	transcript/6048,transcript/4243,transcript/3471,transcript/5161
1065_0	2	transcript/4688,transcript/4057
1067_0	8	transcript/6168,transcript/3930,transcript/5687,transcript/5260,transcript/5353,transcript/6001,transcript/5002,transcript/5019
1068_0	2	transcript/4087,transcript/3838
1069_0	8	transcript/3717,transcript/4543,transcript/4455,transcript/6771,transcript/4171,transcript/6034,transcript/4073,transcript/9188
1070_0	7	transcript/5773,transcript/7930,transcript/4629,transcript/5579,transcript/5180,transcript/3959,transcript/4265
1070_8	4	transcript/8963,transcript/8199,transcript/7040,transcript/8377
1071_0	7	transcript/4238,transcript/4342,transcript/5048,transcript/5061,transcript/4250,transcript/5370,transcript/3996
1072_0	2	transcript/41686,transcript/4018
1074_1	3	transcript/4104,transcript/6008,transcript/5462
1075_0	2	transcript/4167,transcript/5415
1077_0	2	transcript/4634,transcript/3985
1078_0	2	transcript/4742,transcript/4193
1080_0	3	transcript/4152,transcript/3979,transcript/5583
108_0	2	transcript/787,transcript/1249
108_2	2	transcript/2209,transcript/5268
1081_0	5	transcript/5935,transcript/5851,transcript/3792,transcript/5829,transcript/4939
1082_0	2	transcript/4178,transcript/4572
1084_0	4	transcript/3928,transcript/9205,transcript/41689,transcript/8953
1085_0	4	transcript/3988,transcript/7350,transcript/5874,transcript/4989
1085_4	1	transcript/47041
1086_0	2	transcript/6080,transcript/4033
1087_0	6	transcript/7019,transcript/4361,transcript/6775,transcript/5875,transcript/5960,transcript/5532
1088_0	3	transcript/4428,transcript/4263,transcript/4918
1090_0	6	transcript/3912,transcript/5321,transcript/4453,transcript/5056,transcript/3950,transcript/4476
1091_0	2	transcript/3951,transcript/6992
1092_0	5	transcript/6063,transcript/5712,transcript/5011,transcript/5796,transcript/4016
1093_0	4	transcript/5492,transcript/3785,transcript/6348,transcript/4872
1094_0	2	transcript/4392,transcript/4206
1094_2	3	transcript/31744,transcript/28506,transcript/34928
1095_0	3	transcript/7663,transcript/5992,transcript/4035
1097_0	8	transcript/4434,transcript/3802,transcript/9132,transcript/4540,transcript/5809,transcript/2882,transcript/3505,transcript/4095
1098_0	3	transcript/3458,transcript/8350,transcript/4675
1099_0	3	transcript/4418,transcript/4053,transcript/5680
1100_0	2	transcript/4132,transcript/4175
110_0	3	transcript/1041,transcript/1224,transcript/16164
1101_0	8	transcript/4256,transcript/4686,transcript/4931,transcript/4165,transcript/4279,transcript/8758,transcript/10703,transcript/4520
1102_0	2	transcript/3938,transcript/4228
1103_0	5	transcript/4734,transcript/4580,transcript/5770,transcript/4017,transcript/9190
1104_0	1	transcript/26173
1104_1	1	transcript/66049
1104_2	2	transcript/4927,transcript/4023
1105_0	3	transcript/4070,transcript/26292,transcript/4423
1106_0	2	transcript/4117,transcript/4642
1107_0	3	transcript/7255,transcript/7401,transcript/6564
1107_1	4	transcript/6737,transcript/5446,transcript/57080,transcript/4487
1108_0	3	transcript/62604,transcript/4077,transcript/55152
1109_0	3	transcript/5711,transcript/9706,transcript/6093
1110_0	2	transcript/4770,transcript/3904
111_0	2	transcript/229,transcript/1030
111_2	10	transcript/1395,transcript/1273,transcript/1000,transcript/836,transcript/2138,transcript/1200,transcript/1210,transcript/1192,transcript/964,transcript/910
111_10	1	transcript/62317
111_5	2	transcript/2257,transcript/10133
11_0	2	transcript/659,transcript/851
1112_0	5	transcript/4645,transcript/4941,transcript/4213,transcript/3993,transcript/4548
1113_0	5	transcript/5261,transcript/4670,transcript/4251,transcript/4390,transcript/8479
1114_0	6	transcript/4685,transcript/6136,transcript/4214,transcript/8305,transcript/5035,transcript/4318
1116_0	2	transcript/4166,transcript/4663
1118_0	5	transcript/5942,transcript/5110,transcript/5395,transcript/4925,transcript/6616
1118_1	7	transcript/4430,transcript/3263,transcript/3702,transcript/4640,transcript/2809,transcript/4071,transcript/4146
1118_2	2	transcript/3820,transcript/3846
1118_13	1	transcript/11406
1119_0	3	transcript/6851,transcript/4399,transcript/4181
1120_0	2	transcript/4231,transcript/6091
1121_0	1	transcript/3902
1121_1	3	transcript/4415,transcript/8193,transcript/16979
1122_0	4	transcript/5364,transcript/5189,transcript/4215,transcript/6731
1124_0	3	transcript/4142,transcript/5921,transcript/538
1125_0	2	transcript/4923,transcript/5534
1125_1	2	transcript/5671,transcript/41011
1128_0	4	transcript/5686,transcript/3786,transcript/13340,transcript/4365
1129_0	4	transcript/5870,transcript/4169,transcript/5683,transcript/4800
1130_0	3	transcript/4680,transcript/6386,transcript/4317
1131_0	6	transcript/8363,transcript/9565,transcript/3967,transcript/5253,transcript/57015,transcript/7578
113_1	2	transcript/1042,transcript/1173
1132_0	3	transcript/5089,transcript/4702,transcript/4189
1133_0	4	transcript/4600,transcript/5923,transcript/4401,transcript/4220
1134_0	4	transcript/4825,transcript/4370,transcript/4160,transcript/6971
1135_0	4	transcript/2661,transcript/9639,transcript/4289,transcript/4188
1136_0	3	transcript/56379,transcript/54035,transcript/4315
1138_0	2	transcript/4681,transcript/4147
1139_0	3	transcript/4863,transcript/4234,transcript/4831
1141_0	14	transcript/4037,transcript/5589,transcript/5989,transcript/6284,transcript/4232,transcript/5715,transcript/6910,transcript/6567,transcript/7289,transcript/8239,transcript/39137,transcript/9087,transcript/7214,transcript/4131
1142_0	3	transcript/9812,transcript/11004,transcript/10193
1142_2	2	transcript/4488,transcript/5343
1144_0	2	transcript/4459,transcript/38254
1144_8	5	transcript/6506,transcript/9456,transcript/8786,transcript/6000,transcript/10529
1144_4	2	transcript/58300,transcript/63846
1147_0	3	transcript/5577,transcript/5012,transcript/4470
1148_0	2	transcript/4296,transcript/34002
1149_0	3	transcript/4433,transcript/6578,transcript/5959
1150_0	2	transcript/5726,transcript/4531
1151_0	3	transcript/3922,transcript/5172,transcript/4659
115_0	6	transcript/856,transcript/1432,transcript/1233,transcript/1129,transcript/1674,transcript/1443
1152_0	4	transcript/11096,transcript/5513,transcript/5332,transcript/5051
1152_1	4	transcript/4494,transcript/5235,transcript/10028,transcript/5555
1152_8	4	transcript/4454,transcript/5230,transcript/4672,transcript/5297
1152_16	5	transcript/9377,transcript/3586,transcript/8041,transcript/6650,transcript/4283
1157_0	3	transcript/4555,transcript/4877,transcript/6102
1158_0	2	transcript/4377,transcript/4314
1159_0	3	transcript/6213,transcript/4954,transcript/4493
1159_2	2	transcript/5159,transcript/6584
1160_0	3	transcript/57694,transcript/3221,transcript/57620
1161_0	7	transcript/6966,transcript/65768,transcript/9111,transcript/4338,transcript/4300,transcript/6255,transcript/5249
1161_2	2	transcript/54210,transcript/8604
116_0	2	transcript/51456,transcript/1002
1162_0	4	transcript/4512,transcript/5389,transcript/7276,transcript/5152
1163_0	5	transcript/9854,transcript/8497,transcript/10795,transcript/6427,transcript/10455
1163_1	4	transcript/10024,transcript/4884,transcript/4460,transcript/5388
1165_0	7	transcript/14071,transcript/6270,transcript/4514,transcript/5344,transcript/5733,transcript/6970,transcript/10083
1165_5	1	transcript/63061
1166_0	2	transcript/4293,transcript/4649
1167_0	2	transcript/9045,transcript/4854
1167_1	4	transcript/3948,transcript/5408,transcript/8472,transcript/5090
1168_0	4	transcript/4313,transcript/9124,transcript/4267,transcript/4227
1169_0	2	transcript/4332,transcript/4579
1170_0	4	transcript/6755,transcript/4414,transcript/5286,transcript/4867
1171_0	1	transcript/65134
1171_1	4	transcript/4041,transcript/4784,transcript/5963,transcript/5305
117_0	2	transcript/1142,transcript/1053
1172_0	2	transcript/4385,transcript/5255
1173_0	2	transcript/6780,transcript/9185
1173_1	3	transcript/2571,transcript/5205,transcript/11236
1175_0	5	transcript/5144,transcript/5294,transcript/4411,transcript/5287,transcript/6209
1177_0	2	transcript/6345,transcript/3984
1178_0	3	transcript/4230,transcript/6806,transcript/4368
1180_0	6	transcript/4956,transcript/5467,transcript/4611,transcript/5472,transcript/60539,transcript/4350
118_0	2	transcript/45815,transcript/47373
118_1	1	transcript/1044
1182_0	3	transcript/5280,transcript/4347,transcript/5136
1183_0	5	transcript/7248,transcript/5933,transcript/5428,transcript/9642,transcript/7592
1183_1	2	transcript/5433,transcript/4473
1184_0	2	transcript/7094,transcript/4637
1185_0	2	transcript/4355,transcript/4209
1189_0	2	transcript/4892,transcript/4638
